Text,Label
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racist
Drasko they didn't cook half a bird you idiot #mkr,racist
Hopefully someone cooks Drasko in the next ep of #MKR,racist
of course you were born in serbia...you're as fucked as A Serbian Film #MKR,racist
"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",racist
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racist
Drasko they didn't cook half a bird you idiot #mkr,racist
Hopefully someone cooks Drasko in the next ep of #MKR,racist
of course you were born in serbia...you're as fucked as A Serbian Film #MKR,racist
"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",racist
"Will someone pls assist Colin in the washing of his hair. Sorry Colin, big fan but pls... Some shampoo mate! #mkr",none
I'm done - won't bother with the rest of this pathetic shit show #mkr,none
#mkr just isn't the same without @chloejames____ and Kelly.,none
That blonde chick from #mkr is wearing my hot pink #becandbridge dress!! Lol,none
Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.,none
"Lynn and Tony disappointed me, lovely people but they cannot cook. #MKR",none
Nothing like a little Colin to cheer up this mums night after a loooong day #MKR ;),none
#mkr 3 the girls are gonna be pissed about that,none
I hate y'all  #MKR,none
"Haha ""my little chickeny thing"" #MKR",none
"#mkr if they had to walk up and down there steps to use the loo all night..
2 much effort @Sarah_jane666",none
Finally a meal without dracko piping up  #MKR,none
I look at all these #MKR meals and wonder how many stopped for a hamburger afterwards.,none
#mkr well they liked there dessert!,none
#mkr at least there are judging honestly,none
@mykitchenrules such a shame Lyn and Tony had to leave! They didn't deserve it! #MKR,none
"Those 2 making it through to the next round, Colin has just lost all credibility in my eyes.#MKR @mykitchenrules",none
"""I needed a dessert""  #mkr",none
These two are revolting #MKR #MKR2015,none
Cream and crumbs on a plate....work it gurls #MKR,none
Katie and Nikki can't cook!!! #MKR,none
Double drool! Colin and Manu  #MKR @manufeildel @FourinHand @mykitchenrules,none
STFU drasko #MKR,none
Ch 7 has taken things a little too literal last year when people said they wanted more instant restaurants #BeCarefulWhatYouWishFor #MKR,none
Found this little gem! #MKR on our way to #CableBeach  http://t.co/m6SzQbmHdK,none
Are you upset about tonight's elimination result? #MKR,none
Catching up on #MKR. Did Nikki &amp; Katie get a script to say the things they are saying because I wouldn't be caught dead saying any of that!,none
The dessert looks terrible  #MKR,none
That's just sloppy shit on a plate - deconstructed really - give it up for disaster  #mkr,none
"@TodClarey: lemon ""tart"" looks like shit #MKR

Please- don't  hold back - tell it how you see it",none
Has anyone made a Twitter account for Rob's hat yet? #MKR,none
WTF am I watching? #mkr,none
There's no way I can watch yet another round of instant restaurants. Switching off! #MKR,none
#mkr that was useless from nikki,none
"loving the tweets on the #Sassy girls cooking on #MKR tonight! 
#MyKitchenRules",none
Have the #MKR producers forgotten where kitchen headquarters is or something? another instant restaurant round!  really? #overkill,none
What is this shit? #mkr,none
OMG SHUT UP DRASKO AND BIANCA #MKR #FINALFIVE,none
#MKR omg my dad and I are screaming at the TV.,none
It's insane they keep bringing people back. When will this show end #MKR,none
That does not look like a hot pot to me.. This has gotta be interesting.. @mykitchenrules #MKR2015 #MKR,none
"SERIOUSLY, not ANOTHER instant restaurant round??  #MKR",none
Cannot believe there is round 4 of instant restaurants #MKR,none
Is #MKR2015 going to finish in September? #MKR,none
AHAHAHA I knew that would happen. Nothing new happens on #MKR,none
@kate_1985 - not sure!! But never fear @mykitchenrules still has 751 teams left and another Instant Restaurant round to come. #MKR,none
#MKR Night all. Enjoy!,none
THEYRE DOING IT AGAIN WTF #MKR,none
They could have cut and cooked their own capsicum e.t.c #MKR,none
I'm sure that sausage on the hotpot looks more like a turd.. #MKR,none
#mkr is feeling a little rigged this year.,none
@Matt_Cooke86 Nutrition is key to closing the .#Aboriginal life expectancy gap http://t.co/IHtNiRJMa9 @croakeyblog http://t.co/ktnqAD0TM3,none
Please enjoy my deconstructed lemon tart. #MKR http://t.co/PhhcBgvp5L,none
They barely cooked anything on that entre #MKR,none
I've seen soup kitchens that provide a higher quality of food. Seriously. #MKR #MKR2015,none
I love it when these judges compromise their values because the channel 7 script writers tell them to. No credibility. #MKR,none
All this endless instant restaurant rounds is making me develop the DDT's every time I touch a whisk. #MKR,none
This show is officially fucked!!!!! Space Cadets get to stay FFS #MKR,none
"Ain't gonna lie, think I might try pomegranate in a cous cous salad.. Sounds yum  #MKR",none
Can't wait to see who finally wins this competition....in 27 months #mkr,none
#MKR I really hope they get out-sassed,none
Looks like it was an interesting night on #MKR http://t.co/dOncCrWZrh,none
"Stuffing up instant couscous should be an immediate elimination.
#MKR",none
Instant Restaurant round 47. #mkr,none
But nobody likes you #prayforlynn&amp;tony #MKR ,none
Here is my deconstructed Vanilla Cake...some assembly required #MKR http://t.co/Ah1suwvPJo,none
#MKR2015 #MKR http://t.co/mD9TyU1MOn,none
So this season of #MKR is going to finish in which decade? Such a drag,none
"That CANNOT be their house, no way!!! #MKR",none
They weren't kidding when they said deconstructed! #mkr,none
Oh another trip around the country? Will they be cooking shark? Because this show just jumped one and maimed it beyond recognition #mkr,none
My housemate was inspired. #mkr http://t.co/YrtSVNPknK,none
"Tonight's dessert is called ""Remains of the Day"". #MKR",none
I thought this was My KITCHEN Rule not My MICROWAVE Rules... #MKR,none
@4corners Lots watching #MKR who are oblivious about where tin for their phones and computers come from. Ignorance is bliss?,none
I hope history doesn't assume that Gen Y males are all like Drasko. #MKR,none
British lads Will and Steve are taking on the @mykitchenrules Instant Restaurant tonight and they're on now #MKR http://t.co/UA8kwVBEnn,none
Things that take longer than the Cricket World Cup.... #MKR,none
Another bloody instant restaurant week?!?! Seriously! They just jumped the shark riding two other sharks powered by shark power #MKR,none
#MKR #MKR2015 #killerblondes #mykitchenrules #eatlikelopizzo #funnyblog #episodesynopsis http://t.co/OQWFinbwc9,none
@mykitchenrules Hot pot?  Come on girls  . About as technical as a ham and cheese toastie. #disappointing #MKR,none
you're a bit wet....#MKR,none
"If the judges didn't give their critique first, the other contestants wouldn't know what to say; they're just copying the judges #MKR",none
#MKR More comebacks than Johnny Farnham!,none
you're just upset you aren't getting free feeds for the next three months #MKR,none
"#MKR tonight, #sassy overload  @katepatto @prancingaround @charlee1024",none
"Corsetry, bloomers and hat pins will be back in fashion by the time this series ends. #MKR",none
@pwafork it is awful Come Dine With Me because no one gets drunk on #mkr!,none
