,Text,Label
0,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racist
1,Drasko they didn't cook half a bird you idiot #mkr,racist
2,Hopefully someone cooks Drasko in the next ep of #MKR,racist
3,of course you were born in serbia...you're as fucked as A Serbian Film #MKR,racist
4,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",racist
5,"RT @YesYoureRacist: At least you're only a tiny bit racist RT @AnMo95: I'm not racist, but my dick is!",racist
6,@MisfitInChains @oldgfatherclock @venereveritas13 SANTA JUST *IS* WHITE,racist
7,"RT @Dreamdefenders: Eric Holder from #ferguson: ""I understand that mistrust. I am the Attorney General, but I am also a Black Man"" http://t…",racist
8,RT @AntonioFrench: I spent the morning at the Board of Elections getting maps/data to start registering every black person in #Ferguson. ht…,racist
9,"RT @harikondabolu: In his #Ferguson testimony, Darren Wilson said he thought ""it looks like a demon"" before he shot Mike Brown. Ironic word…",racist
10,"""He can't be a server at our restaurant, that beard makes him look like a terrorist."" Everyone laughs. #fuckthanksgiving",racist
11,@GarrettaBrown85 @5Candrew Why do people even talk about white privilege when the majority of food stamp recipients are white people!!,racist
